input_gibberish,target_correct,shift_type
sogsbuyudn,aphanitism,L_RIGHT__R_LEFT
ubworbwaa,ineptness,L_LEFT__R_LEFT
yrcs09fs,hexapoda,L_RIGHT__R_UP
sawwirt,sawwort,L_STAY__R_LEFT
xczz9hg8c,scazontic,L_DOWN__R_UP
7ho8i8hg,unliking,L_STAY__R_UP
"a,iaws;u",amusedly,L_LEFT__R_RIGHT
;lm;,pomp,L_LEFT__R_DOWN
qn5k.qgl4kw5,antilaborist,L_UP__R_DOWN
w3mworodq5p4u,sensificatory,L_UP__R_RIGHT
vsddino,cassino,L_RIGHT__R_STAY
njmxgfjm,humstrum,L_DOWN__R_DOWN
wastekess,wasteless,L_STAY__R_LEFT
"vstnitp,ryrt",carburometer,L_RIGHT__R_RIGHT
qiadramgi;ar,quadrangular,L_STAY__R_RIGHT
;l.h;ragmatksm,polypragmatism,L_STAY__R_DOWN
",iyis;oxsyopm",mutualization,L_RIGHT__R_RIGHT
psllrdvrny,pallescent,L_RIGHT__R_STAY
pzflzmdngo,parlamento,L_DOWN__R_STAY
97gxdfvzhg,outservant,L_DOWN__R_UP
fergysute,fergusite,L_STAY__R_LEFT
;trhnsnk.kyh,pregnability,L_RIGHT__R_DOWN
tjeprocoam,theorician,L_STAY__R_RIGHT
nutnouy,burnout,L_RIGHT__R_STAY
gnhmd.kc,thymelic,L_DOWN__R_DOWN
xgdg,stet,L_DOWN__R_STAY
54qg3dul3,trabecule,L_UP__R_STAY
gtsnhipsnr,frangipane,L_RIGHT__R_STAY
lmnkmlfr,omnimode,L_RIGHT__R_DOWN
fa;;pwost,fallowist,L_STAY__R_RIGHT
kabret,labret,L_STAY__R_LEFT
nrnsmmrtrf,bebannered,L_RIGHT__R_RIGHT
xi;gzmxjo[,sultanship,L_DOWN__R_RIGHT
w7g043e8dq53,subpredicate,L_UP__R_UP
xsznk.kzd,swahilize,L_DOWN__R_DOWN
e3wo,desi,L_UP__R_RIGHT
zbguzbbdxzguibuxg,antiannexationist,L_DOWN__R_LEFT
dghnolobiczlly,ethnologically,L_DOWN__R_STAY
ubqyusutuve,inquisitive,L_STAY__R_LEFT
"rp435o,3e",foretimed,L_UP__R_RIGHT
ieparwforw,urostegite,L_LEFT__R_RIGHT
rjtabaga,rutabaga,L_STAY__R_DOWN
mh3.ldhw5kd,myelocystic,L_UP__R_DOWN
faa;or,gaslit,L_LEFT__R_RIGHT
iccyrrebt,occurrent,L_STAY__R_LEFT
jnsvyknkv,unactinic,L_RIGHT__R_DOWN
smhi;pdoyu,angulosity,L_RIGHT__R_RIGHT
jnrekjm;nav.w,untriumphable,L_LEFT__R_DOWN
43r43wgrykkt,refreshfully,L_UP__R_LEFT
;43hknt.h,preyingly,L_UP__R_DOWN
ro;og4qmdjoq53,filibranchiate,L_UP__R_RIGHT
28hewy83oe,windshield,L_UP__R_UP
heeod,neeld,L_STAY__R_UP
otpmeptlrf,ironworked,L_RIGHT__R_RIGHT
ehsmplr,whample,L_RIGHT__R_STAY
xgdggixozxn,stethospasm,L_DOWN__R_LEFT
qm;nkd4qnkq,amphicrania,L_UP__R_DOWN
"bdmz,oczf",benamidar,L_DOWN__R_RIGHT
bebl;,bebop,L_STAY__R_DOWN
faniawoakiya,gamosepalous,L_LEFT__R_LEFT
cl.;l;dfkndl;.zxgh,colpoperineoplasty,L_DOWN__R_DOWN
agajru,shakti,L_LEFT__R_LEFT
isj8i,kamik,L_RIGHT__R_UP
"jp,u",homy,L_UP__R_RIGHT
cibsecratirt,consecratory,L_STAY__R_LEFT
fkesger,flesher,L_STAY__R_LEFT
acahty8te,acanthite,L_STAY__R_UP
ewowbrubfkt,repentingly,L_LEFT__R_LEFT
kqn53l3,kantele,L_UP__R_STAY
iaazozy,isazoxy,L_LEFT__R_STAY
d;znlfgnkczd,epanorthidae,L_DOWN__R_DOWN
;l;j.sykln.rdd,populationless,L_RIGHT__R_DOWN
nrtuvr,merice,L_RIGHT__R_LEFT
z;vzm,alvan,L_DOWN__R_RIGHT
i;54qwj432e,ultrashrewd,L_UP__R_RIGHT
"se,oaitp,atoca;;u",semiautomatically,L_STAY__R_RIGHT
ewreocaxxinarw,retrovaccinate,L_LEFT__R_STAY
nunchdon,nuncheon,L_DOWN__R_STAY
ximx[pggu,sunspotty,L_DOWN__R_RIGHT
lvdfclm;dnxzgd,overcompensate,L_DOWN__R_DOWN
dnhzncivd,enhancive,L_DOWN__R_STAY
omgdmxd,intense,L_DOWN__R_RIGHT
7hrb8vyrf,unevicted,L_RIGHT__R_UP
otfntaguo,pygmyship,L_LEFT__R_LEFT
",i;roso,wmaopma;",multidimensional,L_LEFT__R_RIGHT
eouductuc,epidictic,L_STAY__R_LEFT
7hzxx8j8ozg8vd,unassimilative,L_DOWN__R_UP
drro,seep,L_RIGHT__R_LEFT
abeoe,abele,L_STAY__R_UP
zwbiorweu,xenopteri,L_LEFT__R_LEFT
"dvtrrnelt,",screenwork,L_RIGHT__R_DOWN
cwzar897a,vexatious,L_LEFT__R_UP
qrr3d53e,affected,L_UP__R_DOWN
qr5mlw5,aftmost,L_UP__R_DOWN
dprsthrsf,spearhead,L_RIGHT__R_STAY
arja[aaxam,athapascan,L_LEFT__R_RIGHT
acrasuakes,acrasiales,L_STAY__R_LEFT
affewfavow,aggregable,L_LEFT__R_UP
djmnq.,cumhal,L_UP__R_DOWN
"5q45q4i,",tartarum,L_UP__R_RIGHT
gzily,taily,L_DOWN__R_STAY
arwcwo,stevel,L_LEFT__R_UP
bdsogcjdfu,bewitchery,L_DOWN__R_RIGHT
zmmonizgion,ammoniation,L_DOWN__R_STAY
"sibirbamdp,",suburbandom,L_STAY__R_RIGHT
knweaskxav.h,ineradicably,L_LEFT__R_DOWN
ju[dfvzxci;zfogu,hypervascularity,L_DOWN__R_RIGHT
0arah7coear,paranuclear,L_STAY__R_UP
abinakiysbess,anomalousness,L_STAY__R_LEFT
[reaff;octopm,preaffliction,L_STAY__R_RIGHT
y60rtv9ttrvy,hypercorrect,L_RIGHT__R_UP
steat906ga,steatopyga,L_STAY__R_UP
nlnxlknxkswnr,noncoincident,L_LEFT__R_DOWN
aivox;w,subicle,L_LEFT__R_RIGHT
atricuiys,atrocious,L_STAY__R_LEFT
i9j0eh8,kompeni,L_STAY__R_UP
fdkm;.zng,reimplant,L_DOWN__R_DOWN
.hm;nsfrnlkf,lymphadenoid,L_RIGHT__R_DOWN
w08h8dq4097w,spinicarpous,L_UP__R_UP
qe8q0y94358d,adiaphoretic,L_UP__R_UP
vt8j8hso,criminal,L_RIGHT__R_UP
;dfxjzxlfh,persuasory,L_DOWN__R_DOWN
8d9h9o9t6,iconology,L_UP__R_UP
w3j859hqoo6,semitonally,L_UP__R_UP
ro9hhsy89h,elongation,L_RIGHT__R_UP
kisawp[jpvoa,judaeophobia,L_LEFT__R_RIGHT
wvwhw97a,ebeneous,L_LEFT__R_UP
dyslrnrdd,staleness,L_RIGHT__R_STAY
y60rt0oshr,hyperplane,L_RIGHT__R_UP
0stshrh8v,paragenic,L_RIGHT__R_UP
anch.lceras,ancyloceras,L_STAY__R_DOWN
ca[rofog,caprifig,L_STAY__R_RIGHT
8hd8ctaboe,indictable,L_STAY__R_UP
wdn43kn34ka3,schreinerize,L_UP__R_DOWN
rekaskxa.,triadical,L_LEFT__R_DOWN
;.ejrkse;tate,pleuriseptate,L_STAY__R_DOWN
"dpea,omi;paw",foraminulose,L_LEFT__R_RIGHT
;ptp44j3q,logorrhea,L_UP__R_RIGHT
unifodi5y,univocity,L_UP__R_STAY
evikytuibusn,evolutionism,L_STAY__R_LEFT
mul5ilodulq53,multiloculate,L_UP__R_STAY
pulprvyomy,pulpectomy,L_RIGHT__R_STAY
anbuickeosus,amnioclepsis,L_STAY__R_LEFT
gte4id3ogqkud,hydrocephalic,L_UP__R_LEFT
f8dq4897wh3ww,vicariousness,L_UP__R_UP
"jz,,df;dxx",hammerless,L_DOWN__R_RIGHT
;trtsvknh,preracing,L_RIGHT__R_DOWN
zfzzvz,arzava,L_DOWN__R_STAY
"deter,omatove;u",determinatively,L_STAY__R_RIGHT
cao8ces,calices,L_STAY__R_UP
wcabwaxwbxw,evanescence,L_LEFT__R_LEFT
dpstdiyy,sparsity,L_RIGHT__R_STAY
;nwjmarlaka,pneumatosis,L_LEFT__R_DOWN
giatbeard,goatbeard,L_STAY__R_LEFT
oggivisny,officiant,L_RIGHT__R_STAY
7hwo95yr7oh3ww,unslothfulness,L_UP__R_UP
nlnknfkbkfjs.,nonindividual,L_RIGHT__R_DOWN
d35p;ptow5,cetologist,L_UP__R_RIGHT
hetyeroahd8ah,netherlandian,L_STAY__R_UP
snnsmiyiv,annamitic,L_RIGHT__R_STAY
ivgkryuv,ochletic,L_RIGHT__R_LEFT
qnq,ana,L_UP__R_STAY
"im,psodoav;u",unmodifiably,L_LEFT__R_RIGHT
zxcod08h,asclepin,L_DOWN__R_UP
s7o0y9carbah8o8de,sulphocarbanilide,L_STAY__R_UP
vutbinrtbrf,curvinerved,L_RIGHT__R_STAY
j8c8zh8gd,midianite,L_DOWN__R_UP
czmpylogfopoux,campylotropous,L_DOWN__R_STAY
"dr,ofoggrtrmvr",semidifference,L_RIGHT__R_RIGHT
knhrnrtsykln,ingeneration,L_RIGHT__R_DOWN
ju[psfrmos,hypoadenia,L_RIGHT__R_RIGHT
zljoxxzf,akhissar,L_DOWN__R_RIGHT
17qoj8wy,qualmish,L_UP__R_UP
bibwygwueubt,nonsubsiding,L_UP__R_LEFT
e3fqo948a3,devalorize,L_UP__R_UP
saoeuomf,dairying,L_LEFT__R_RIGHT
v9ooq9ej,bollworm,L_LEFT__R_UP
jaho8ie,manlike,L_STAY__R_UP
e;ls,epos,L_STAY__R_DOWN
tardage,yardage,L_STAY__R_LEFT
oi4j34t,porkery,L_UP__R_LEFT
7hyq4e8h3ww,unhardiness,L_UP__R_UP
7hre07os8hg,unrepulsing,L_STAY__R_UP
dsjtl;nshljd,saurophagous,L_RIGHT__R_DOWN
holodquw5,holocaust,L_UP__R_STAY
"frv,nljdr",deckhouse,L_RIGHT__R_DOWN
weuggbar,weighbar,L_STAY__R_LEFT
mk.dewh,mildewy,L_STAY__R_DOWN
rallwfalanw,tallegalane,L_LEFT__R_STAY
wzy9erar9e6,exhortatory,L_LEFT__R_UP
oq53h5o6,latently,L_UP__R_UP
;axrpcwfwraeoam,lactovegetarian,L_LEFT__R_RIGHT
xarwe08ooae,caterpillar,L_LEFT__R_UP
g32o4m,beworm,L_UP__R_STAY
g.lmerj.lne;nrktks,glomerulonephritis,L_STAY__R_DOWN
;jr;.eness,purpleness,L_STAY__R_DOWN
oabruwa,panties,L_LEFT__R_LEFT
oikt34tud,polyergic,L_UP__R_LEFT
"5q4,o",tarmi,L_UP__R_RIGHT
jnzcmjxgzb.h,unadjustably,L_DOWN__R_DOWN
ubvdcguvd,infective,L_DOWN__R_LEFT
gifcp[p;d,turcopole,L_DOWN__R_RIGHT
0se7d98sat8h,pseudoisatin,L_STAY__R_UP
jnmlevks,unmorbid,L_LEFT__R_DOWN
fduz8o,rejail,L_DOWN__R_UP
aumxeaxu,syncracy,L_LEFT__R_RIGHT
x70eajj9h8a,cuprammonia,L_LEFT__R_UP
xizubwaa,coziness,L_LEFT__R_LEFT
xewa,crea,L_LEFT__R_DOWN
krsmu,jeany,L_RIGHT__R_RIGHT
fhizocofm,rhizocorm,L_DOWN__R_STAY
"[seidp[er,amemt",pseudopermanent,L_STAY__R_RIGHT
7hv9hbrtdsy89hso,unconversational,L_RIGHT__R_UP
gue4idtw5inq,hidrocystoma,L_UP__R_LEFT
7hj8y8hsyrfhrdd,unmitigatedness,L_RIGHT__R_UP
dqnogikue3,campholide,L_UP__R_LEFT
54knlmkq.kwm,trinomialism,L_UP__R_DOWN
testofoer,testifier,L_STAY__R_RIGHT
phoyorlrvytivsl,photoelectrical,L_RIGHT__R_STAY
djp4oapm5,chorizont,L_UP__R_RIGHT
un2q43,unware,L_UP__R_STAY
jw[raai;[josw,heptasulphide,L_LEFT__R_RIGHT
;s.srldyh.kv,palaeostylic,L_RIGHT__R_DOWN
rcyrmisyr,extenuate,L_RIGHT__R_RIGHT
3b54qub34,entrainer,L_UP__R_LEFT
nsvjgsbfrt,backhander,L_RIGHT__R_LEFT
fdvdfbdfzhg,reverberant,L_DOWN__R_UP
soarjkubgkt,sparklingly,L_STAY__R_LEFT
yrytsottsnuf,tetrapyramid,L_RIGHT__R_LEFT
"cdf,zgp[goc",dermatoptic,L_DOWN__R_RIGHT
nueaavlw,nursable,L_LEFT__R_STAY
sw.arkln,delation,L_LEFT__R_DOWN
abrwbarakuruak,antenatalitial,L_LEFT__R_LEFT
clmkclbfz;nh,comicography,L_DOWN__R_DOWN
nwkrubfbwaa,meltingness,L_LEFT__R_LEFT
piznixg,pianist,L_DOWN__R_STAY
0t90t9vy9t,proproctor,L_RIGHT__R_UP
g4qndhi43m3,branchireme,L_UP__R_STAY
j6se8ar8x,mydriatic,L_LEFT__R_UP
g3wwq4qgkqn,bessarabian,L_UP__R_DOWN
dftggfictgindgdf,erythrocytometer,L_DOWN__R_LEFT
swci;xamozaropm,devulcanization,L_LEFT__R_RIGHT
e3wd3he3h5,descendent,L_UP__R_UP
"hp,stody",gomarist,L_RIGHT__R_RIGHT
poxgdfiofumx,posteriorums,L_DOWN__R_STAY
un43qliwm,unrealism,L_UP__R_STAY
;kn;lkny,pinpoint,L_RIGHT__R_DOWN
trdryyorjrhy,resettlement,L_RIGHT__R_UP
;eda.ksm,pedalism,L_STAY__R_DOWN
;eico[[is,leucippus,L_STAY__R_RIGHT
"jp,3poeq;o5u",homeoidality,L_UP__R_RIGHT
mpm[prtabo;otu,nonportability,L_STAY__R_RIGHT
di[[;ovsyomh;u,supplicatingly,L_RIGHT__R_RIGHT
.hm;nlglxdmkz,lymphotoxemia,L_DOWN__R_DOWN
vibyubhrbvr,contingence,L_RIGHT__R_LEFT
xyooifgdf,supporter,L_DOWN__R_LEFT
5qkouri4n,talpiform,L_UP__R_LEFT
35jp;ptu,ethology,L_UP__R_RIGHT
glrdhgul,fleshful,L_RIGHT__R_STAY
"vpco,dgdf",focimeter,L_DOWN__R_RIGHT
bibyrsvgrt,nonteacher,L_RIGHT__R_LEFT
encrknlkdea,encrinoidea,L_STAY__R_DOWN
;renexamera.,prehexameral,L_STAY__R_DOWN
plu4ir35q5ion,plurifetation,L_UP__R_STAY
acnlr,achor,L_STAY__R_DOWN
e34i543nq5q,derotremata,L_UP__R_LEFT
hybgkewards,junglewards,L_STAY__R_LEFT
o345ywwuw,pertussis,L_UP__R_LEFT
xgauaw,chaise,L_LEFT__R_LEFT
;a[perwa,laportea,L_LEFT__R_RIGHT
stretcgt,stretchy,L_STAY__R_LEFT
rvhoninr,ecgonine,L_RIGHT__R_STAY
o8ty9jarge,lithomarge,L_STAY__R_UP
gtcfizubcugd,hydrozincite,L_DOWN__R_LEFT
akippwey,skippery,L_LEFT__R_STAY
hr7oosy,geullah,L_RIGHT__R_UP
3sqtt34q5p4,exaggerator,L_UP__R_RIGHT
ogtrifeaogwe,phytographer,L_LEFT__R_LEFT
nl..l,hollo,L_LEFT__R_DOWN
8hh7jwe97a,innumerous,L_LEFT__R_UP
g4lmqd35q53,bromacetate,L_UP__R_DOWN
"s,hba.",skybal,L_STAY__R_DOWN
jisapmorw,hudsonite,L_LEFT__R_RIGHT
irgykiyskt,orgulously,L_STAY__R_LEFT
tubwirjubg,tinworking,L_STAY__R_LEFT
piyhlrddly,pithlessly,L_RIGHT__R_STAY
icthrbsyuib,oxygenation,L_RIGHT__R_LEFT
54kqakn3,triazine,L_UP__R_DOWN
dnclbdnzd,endogenae,L_DOWN__R_DOWN
"d,oyjosmod,",smithianism,L_RIGHT__R_RIGHT
nlnanswer,nonanswer,L_STAY__R_DOWN
d.qfkd3;w,claviceps,L_UP__R_DOWN
ndczgd,hecate,L_DOWN__R_DOWN
q9odeaj,wolfram,L_LEFT__R_UP
c8fdcgo6,directly,L_DOWN__R_UP
w;p[w5pm3,slopstone,L_UP__R_RIGHT
0dojzg9z9zh,pelmatozoan,L_DOWN__R_UP
knw.aarkx,inelastic,L_LEFT__R_DOWN
"wq;,pm3;;q3",salmonellae,L_UP__R_RIGHT
"wdj5dn3ln.k,3",scutcheonlike,L_UP__R_DOWN
hubhrtntrsft,gingerbready,L_RIGHT__R_LEFT
jwe8arwo8x,meristelic,L_LEFT__R_UP
vyrxgwekt,butcherly,L_LEFT__R_LEFT
soaqiowromf,disquieting,L_LEFT__R_RIGHT
rq8434,fairer,L_UP__R_UP
invfzxpinzgd,infraspinate,L_DOWN__R_STAY
.lclmltlr,locomotor,L_STAY__R_DOWN
u9vi,jock,L_RIGHT__R_UP
imwz[weowmxwsmwaa,unexperiencedness,L_LEFT__R_RIGHT
ewreofwnwearicw,retrogenerative,L_LEFT__R_STAY
nknklnkfsr,bibionidae,L_RIGHT__R_DOWN
exi;tet,exultet,L_STAY__R_RIGHT
xifoc,siroc,L_DOWN__R_STAY
"judrp,ocacepis",hydromicaceous,L_STAY__R_RIGHT
",espdpmt",mesodont,L_STAY__R_RIGHT
h9ho6,nonly,L_LEFT__R_UP
wugkess,wigless,L_STAY__R_LEFT
ml.jvvs,molucca,L_RIGHT__R_DOWN
y7j06,humpy,L_RIGHT__R_UP
"xp,moz;",somnial,L_DOWN__R_RIGHT
"xlo,,dfgpm",skimmerton,L_DOWN__R_RIGHT
8hfrasca07oar,infrascapular,L_STAY__R_UP
bdfznlmlf;nzd,geranomorphae,L_DOWN__R_DOWN
9vertehse,overtense,L_STAY__R_UP
q4djq53.h,arcuately,L_UP__R_DOWN
hromryty,geometry,L_RIGHT__R_STAY
lthsnkxrf,organized,L_RIGHT__R_DOWN
if3453no5,overtempt,L_UP__R_LEFT
"fwmr;w,am;omwaa",gentlemanliness,L_LEFT__R_RIGHT
mizzwnmaarman,mizzenmastman,L_LEFT__R_STAY
usybr,jahve,L_RIGHT__R_UP
admag,adjag,L_STAY__R_DOWN
"vwaww,",beseem,L_LEFT__R_RIGHT
lanflaud,langlauf,L_LEFT__R_STAY
",arotpropis",maritorious,L_STAY__R_RIGHT
;dfmznbznkc,permanganic,L_DOWN__R_DOWN
908h89hrf,opinioned,L_RIGHT__R_UP
fwnwxl.lfkxa..h,genecologically,L_LEFT__R_DOWN
fdbyzfczbg,reguardant,L_DOWN__R_LEFT
;kb.dg,piglet,L_DOWN__R_DOWN
qh58qd8e,antiacid,L_UP__R_UP
ytsjybryyrtks,trautvetteria,L_RIGHT__R_DOWN
auet,airy,L_LEFT__R_LEFT
swnucikr,demivolt,L_LEFT__R_LEFT
bibwqywareuab,nonequestrian,L_LEFT__R_LEFT
[wpmafw,peonage,L_LEFT__R_RIGHT
giikugabusn,hooliganism,L_STAY__R_LEFT
nlx;kgzb.dndxx,hospitableness,L_DOWN__R_DOWN
8hc8f8oahx6,invigilancy,L_LEFT__R_UP
qllo533,allotee,L_UP__R_STAY
0red9j8hat9r,predominator,L_STAY__R_UP
cjfbzb.d,curbable,L_DOWN__R_DOWN
liaro,kusti,L_LEFT__R_RIGHT
q78hq7w0wsao,quinquepedal,L_LEFT__R_UP
jnknbfzkndc,uningrained,L_DOWN__R_DOWN
ueewakurt,irreality,L_LEFT__R_LEFT
pitta;l,outtalk,L_STAY__R_RIGHT
dauixonzng,equisonant,L_DOWN__R_STAY
nzyzfig,nayarit,L_DOWN__R_STAY
czxuzlndxx,casualness,L_DOWN__R_STAY
bo78xy,bluish,L_DOWN__R_UP
;43wj;;j4q5kf3,presuppurative,L_UP__R_DOWN
;wesj,perdu,L_LEFT__R_DOWN
uncdfxgfunb,understrung,L_DOWN__R_STAY
aumrjwroxa;;u,synthetically,L_LEFT__R_RIGHT
g9szfchdxx,towardness,L_DOWN__R_UP
jpxodf,hosier,L_DOWN__R_RIGHT
j8yyts8dy,mithraist,L_RIGHT__R_UP
d0rtjsy90y6ys,spermatophyta,L_RIGHT__R_UP
mktn5h,mighty,L_UP__R_DOWN
;obifd,ligure,L_DOWN__R_RIGHT
"woe34ow,",siderism,L_UP__R_RIGHT
vaoah8rw,balanite,L_LEFT__R_UP
reabaoaewbruzw,transparentize,L_LEFT__R_LEFT
fiwqt4qph,visagraph,L_UP__R_STAY
ckzfz,clara,L_DOWN__R_LEFT
xdmkclnxlnzng,semiconsonant,L_DOWN__R_DOWN
roo80drd,ellipses,L_RIGHT__R_UP
hypazial,hypaxial,L_LEFT__R_STAY
lvdfgfjm;,overtrump,L_DOWN__R_DOWN
7h8gehet8c,unigenetic,L_STAY__R_UP
r35q5uib,fetation,L_UP__R_LEFT
xye9j90oaar,chromoplast,L_LEFT__R_UP
z[[fp[omaizgopm,appropinquation,L_DOWN__R_RIGHT
3e2q4ew8q,edwardsia,L_UP__R_UP
"etj,podotos",ethmoiditis,L_STAY__R_RIGHT
fdncdfdf,renderer,L_DOWN__R_STAY
dyntiiy,subroot,L_RIGHT__R_LEFT
smyjp[jptr,anthophore,L_RIGHT__R_RIGHT
nycribufirn,mucroniform,L_STAY__R_LEFT
tanagrkne,tanagrine,L_STAY__R_DOWN
gjanekde,guaneide,L_STAY__R_DOWN
tyr9jb9se,thrombose,L_STAY__R_UP
7h0r9f8t,unprofit,L_STAY__R_UP
nuvklsnfiyr,bucklandite,L_RIGHT__R_STAY
;aradkska,paradisia,L_STAY__R_DOWN
ns..sfth,balladry,L_RIGHT__R_DOWN
;jtktk,puriri,L_RIGHT__R_DOWN
v8h8czo,finical,L_DOWN__R_UP
zbgukioubzd,antilopinae,L_DOWN__R_LEFT
xhzggdfsig,shatterwit,L_DOWN__R_STAY
5y4diogukuwn,turcophilism,L_UP__R_LEFT
jnswearjddknf,understuffing,L_LEFT__R_DOWN
r943wy335,foresheet,L_UP__R_UP
53dmpd5pmoq,tecnoctonia,L_UP__R_RIGHT
wo4i5idql,soritical,L_UP__R_STAY
tarlt,tarot,L_STAY__R_DOWN
7hfdbdoo897x,unrebellious,L_DOWN__R_UP
0y9y9vyt9j9hts0y6,photochromography,L_RIGHT__R_UP
cf8bbzbd,cribbage,L_DOWN__R_UP
ksdrteity,laserwort,L_RIGHT__R_LEFT
obdynzgiogibuz,pneumatophobia,L_DOWN__R_LEFT
carduatriogua,cardiatrophia,L_STAY__R_LEFT
o8berao8zat89h,liberalization,L_STAY__R_UP
mj.5k.l1j3n5,multiloquent,L_UP__R_DOWN
uncdfldbzgd,underlegate,L_DOWN__R_STAY
zigjpfozzgopm,authorization,L_DOWN__R_RIGHT
ynbfudk,umbriel,L_DOWN__R_LEFT
jq4iw[od3w,haruspices,L_UP__R_RIGHT
ocwerwnaxioua,overtenacious,L_LEFT__R_STAY
zgjdoxgocz;,atheistical,L_DOWN__R_RIGHT
hifpl,gudok,L_RIGHT__R_RIGHT
qn5i1uq53e,antiquated,L_UP__R_STAY
;l;.l..h,poplolly,L_UP__R_DOWN
bzbo9y,babloh,L_DOWN__R_UP
"ftsgyd,sm",draftsman,L_RIGHT__R_RIGHT
8jj9tyroor,immortelle,L_RIGHT__R_UP
";pci;z,dmg",loculament,L_DOWN__R_RIGHT
wauterdin,waiterdom,L_STAY__R_LEFT
ajm,aum,L_STAY__R_DOWN
xoeawaquw,corsesque,L_LEFT__R_STAY
doujryio,spiketop,L_RIGHT__R_LEFT
d3.5kjm,celtium,L_UP__R_DOWN
payxhofwny,psychogeny,L_LEFT__R_STAY
go5qu4uw,botaurus,L_UP__R_STAY
ynrtmsyl.lhkv,thermatologic,L_RIGHT__R_DOWN
ybxibzbg,unsonant,L_DOWN__R_LEFT
afetak,afetal,L_STAY__R_LEFT
qpe;s[eppd,worldproof,L_LEFT__R_RIGHT
gy8dvdf6,thievery,L_DOWN__R_UP
dj;rtkngrt,superinfer,L_RIGHT__R_DOWN
omtratrp[oca;,intratropical,L_STAY__R_RIGHT
7hg9tfrf,unforded,L_RIGHT__R_UP
qm5od3m54q;oaq5opm,anticentralization,L_UP__R_RIGHT
"cofxpgp,d",cirsotome,L_DOWN__R_RIGHT
dhspinhly,shapingly,L_RIGHT__R_STAY
vakza,balza,L_LEFT__R_LEFT
vtdyidr,cystose,L_RIGHT__R_LEFT
0r90ar9x6t9h8c,proparoxytonic,L_STAY__R_UP
n3b5qkuwn,mentalism,L_UP__R_LEFT
vgrfrt,cheder,L_RIGHT__R_LEFT
o925y,lowth,L_UP__R_UP
funficj,rimrock,L_DOWN__R_LEFT
dpg23g,cobweb,L_UP__R_RIGHT
xgfzgg,strath,L_DOWN__R_LEFT
ybokyn3e,unplumed,L_UP__R_LEFT
straubkess,strainless,L_STAY__R_LEFT
afeorwxhny,agrotechny,L_LEFT__R_STAY
fhnlvaaw,gynobase,L_LEFT__R_DOWN
imfrtnodjp[,underbishop,L_RIGHT__R_RIGHT
h6t90y9ts,gyrophora,L_RIGHT__R_UP
d7o0y7tr8y6,sulphureity,L_RIGHT__R_UP
ajvnhlks,subhyoid,L_LEFT__R_DOWN
gabdckao,handclap,L_STAY__R_LEFT
ckxvz.jd,disvalue,L_DOWN__R_DOWN
;stkryldwjsmlds.,parietosquamosal,L_RIGHT__R_DOWN
a..ankrkx,allanitic,L_LEFT__R_DOWN
revea;ab;emess,revealableness,L_STAY__R_RIGHT
js[;p;phov,haplologic,L_RIGHT__R_RIGHT
xaqqiaq,cawquaw,L_LEFT__R_RIGHT
yrthkyr,tergite,L_RIGHT__R_DOWN
gdgfzcuc;oc,tetracyclic,L_DOWN__R_RIGHT
7hx9hre9oo8hf,uncontrolling,L_LEFT__R_UP
dshyrft8j,sanhedrim,L_RIGHT__R_UP
awpricalwnr,septivalent,L_LEFT__R_STAY
wz;ewaa.waa,expressless,L_LEFT__R_DOWN
8j0qo0qg8o856,impalpability,L_UP__R_UP
deaeratuib,deaeration,L_STAY__R_LEFT
fissaes,goddard,L_LEFT__R_LEFT
"trljb.ema,kng",troublemaking,L_STAY__R_DOWN
bretwaodad9j,bretwaldadom,L_STAY__R_UP
dq5y3e4q58dqoo6,cathedratically,L_UP__R_UP
ljg;zhmdng,outpayment,L_DOWN__R_DOWN
w[p4pdq4[,sporocarp,L_UP__R_RIGHT
iuktuwg,oilyish,L_UP__R_LEFT
"reorp,a",tritoma,L_LEFT__R_RIGHT
g9f7ozv9fj,torulaform,L_DOWN__R_UP
unincdnxdc,unincensed,L_DOWN__R_STAY
5qukou3d3,tailpiece,L_UP__R_LEFT
;a.awlxeknlkswa,palaeocrinoidea,L_LEFT__R_DOWN
gfibkictguczd,troglodytidae,L_DOWN__R_LEFT
vz;pf,valor,L_DOWN__R_RIGHT
d84d7jd9h3,circumcone,L_UP__R_UP
gtogwbux,hyphenic,L_LEFT__R_LEFT
osbniriyusb,panboeotian,L_RIGHT__R_LEFT
cao9r8s,caloris,L_STAY__R_UP
dehdrax9h,dendraxon,L_STAY__R_UP
7hj3j9843e,unmemoired,L_UP__R_UP
gdfiikibt,heroology,L_DOWN__R_LEFT
saeqknkzw,darwinize,L_LEFT__R_DOWN
3sd34[5,excerpt,L_UP__R_RIGHT
cyf9jzg8zd,chromatize,L_DOWN__R_UP
7h0ehc8oed,unpenciled,L_STAY__R_UP
3fl.j5kln,evolution,L_UP__R_DOWN
wqddgq4iw3,saccharose,L_UP__R_LEFT
"ji,pifvi;",humourful,L_DOWN__R_RIGHT
fdgzid,retake,L_DOWN__R_UP
fpsaalw,godsake,L_LEFT__R_RIGHT
snsdr,abase,L_RIGHT__R_RIGHT
imres[ectfi;mess,unrespectfulness,L_STAY__R_RIGHT
cardopcorrjpsos,cardiocirrhosis,L_STAY__R_RIGHT
oikttki5,polyglot,L_UP__R_LEFT
dvsphovrphsly,scaphocephaly,L_RIGHT__R_STAY
